Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
1,Walmart,,Retailing,General Merchandisers,yes,0,no,no,,yes,yes,yes,2100000,484852.8,648125,6,15511,32.8,252399,Public,559911
2,Amazon,,Retailing,Internet Services and Retailing,yes,0,no,no,,yes,yes,no,1525000,1873675.8,574785,11.8,30425,,527854,Public,2005565
3,Apple,,Technology,"Computers, Office Equipment",yes,1,yes,no,,yes,yes,no,161000,2647973.8,383285,-2.8,96995,-2.8,352583,Public,3594309
4,UnitedHealth Group,,Health Care,Health Care: Insurance and Managed Care,yes,1,yes,no,,yes,yes,no,440000,456080.8,371622,14.6,22381,11.2,273720,Public,474339
5,Berkshire Hathaway,,Financials,Insurance: Property and Casualty (Stock),yes,2,yes,no,,yes,yes,no,396500,908919.7,364482,20.7,96223,,1069978,Public,937028
6,CVS Health,,Health Care,Health Care: Pharmacy and Other Services,yes,0,no,no,,yes,yes,no,259500,100373.9,357776,10.9,8344,101.1,249728,Public,73653
7,Exxon Mobil,,Energy,Petroleum Refining,yes,-4,no,yes,,yes,no,no,61500,461222.2,344582,-16.7,36010,-35.4,376317,Public,516824
8,Alphabet,,Technology,Internet Services and Retailing,yes,0,no,no,,yes,yes,no,182502,1884633,307394,8.7,73795,23,402392,Public,2315182
9,McKesson,,Health Care,Wholesalers: Health Care,yes,0,no,no,,yes,no,no,48000,70546.5,276711,4.8,3560,219.6,62320,Public,75007
10,Cencora,,Health Care,Wholesalers: Health Care,yes,1,yes,no,,yes,no,no,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,Public,43758
11,Costco Wholesale,,Retailing,General Merchandisers,yes,1,yes,no,,yes,yes,no,316000,324924.4,242290,6.8,6292,7.7,68994,Public,376272
12,JPMorgan Chase,,Financials,Commercial Banks,yes,11,yes,no,,yes,yes,no,309926,576938.4,239425,54.7,49552,31.5,3875393,Public,603194
13,Microsoft,,Technology,Computer Software,yes,0,no,no,,yes,yes,no,221000,3126133.1,211915,6.9,72361,-0.5,411976,Public,3373970
14,Cardinal Health,,Health Care,Wholesalers: Health Care,yes,0,no,no,,yes,no,no,47520,27217.8,205012,13,261,,43417,Public,22832
15,Chevron,,Energy,Petroleum Refining,yes,-5,no,yes,,yes,no,no,45600,292965.6,200949,-18.4,21369,-39.7,261632,Public,291950
16,Cigna,,Health Care,Health Care: Pharmacy and Other Services,yes,-1,no,yes,,yes,no,no,71413,103017.9,195265,8.2,5164,-22.6,152761,Public,94148
17,Ford Motor,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,2,yes,no,,yes,no,no,177000,53017.8,176191,11.5,4347,,273310,Public,56811
18,Bank of America,,Financials,Commercial Banks,yes,14,yes,no,,yes,yes,yes,212985,299213,171912,49.4,26515,-3.7,3180151,Public,327595
19,General Motors,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,2,yes,no,,yes,no,no,163000,52353.5,171842,9.6,10127,1.9,273064,Public,56222
20,Elevance Health,,Health Care,Health Care: Insurance and Managed Care,yes,2,yes,no,,yes,yes,yes,104900,120619.6,171340,9.4,5987,-0.6,108928,Public,123335
21,Citigroup,,Financials,Commercial Banks,yes,15,yes,no,,yes,no,no,237925,121122.2,156820,55.1,9228,-37.8,2411834,Public,124251
22,Centene,,Health Care,Health Care: Insurance and Managed Care,yes,3,yes,no,,yes,yes,no,67700,41979.4,153999,6.5,2702,124.8,84641,Public,35221
23,Home Depot,,Retailing,Specialty Retailers: Other,yes,-3,no,yes,,yes,yes,no,463100,380153.7,152669,-3,15143,-11.5,76530,Public,355454
24,Marathon Petroleum,,Energy,Petroleum Refining,yes,-8,no,yes,,yes,no,no,18200,72607.7,150307,-16.5,9681,-33.3,85987,Public,58737
25,Kroger,,Food & Drug Stores,Food & Drug Stores,yes,-1,no,yes,,yes,no,no,414000,41100.7,150039,1.2,2164,-3.6,50505,Public,37620
26,Phillips 66,,Energy,Petroleum Refining,yes,-9,no,yes,,yes,no,no,14000,69880.8,149890,-14.7,7015,-36.4,75501,Public,59383
