Year,Company ,Category,EBIDTA Margins (%),Revenue,Revenue Growth,Gross Profit,EBITDA,EBITDA Growth,Cash Flow from Operations,Cash Flow From Operations % of Sales,Modified Free Cash Flow,EBITDA per Employee,Debt/Equity Ratio,Number of Employees,,,,,,,,,,,,,
2023,AAPL,IT,0.331046743,394328,7.793787604,170782,"$130,541",8.573353405,122151,0.309770039,122151,0.795981707,2.3695,164000,,,,,,,,,,,,,
2022,AAPL,IT,0.328669799,365817,33.25938473,152836,120233,55.4522652,104038,0.28439903,104038,0.780733766,1.9768,154000,,,,,,,,,,,,,
2021,AAPL,IT,0.28174781,274515,5.512080377,104956,77344,1.133674177,80674,0.293878294,80674,0.52614966,1.7208,147000,,,,,,,,,,,,,
2020,AAPL,IT,0.29394559,260174,-2.041077581,98392,76477,-6.508477891,69391,0.266709971,69391,0.558226277,1.194,137000,,,,,,,,,,,,,
2019,AAPL,IT,0.307991491,265595,15.86195765,101839,81801,14.40539293,77434,0.291549163,77434,0.619704545,1.0685,132000,,,,,,,,,,,,,
2018,AAPL,IT,0.311912718,229234,6.304518199,88186,71501,1.378156503,64225,0.280172226,64225,0.581308943,0.863,123000,,,,,,,,,,,,,
2017,AAPL,IT,0.327069779,215639,-7.734206191,84263,70529,-14.4968298,66231,0.307138319,66231,0.608008621,0.6786,116000,,,,,,,,,,,,,
2016,AAPL,IT,0.352938408,233715,27.8563418,93626,82487,36.45717878,81266,0.347714096,81266,0.749881818,0.539,110000,,,,,,,,,,,,,
2015,AAPL,IT,0.330692853,182795,6.953952373,70537,60449,8.417031351,59713,0.326666484,59713,0.623185567,0.3164,97000,,,,,,,,,,,,,
2014,AAPL,IT,0.32623018,170910,9.202085516,64304,55756,-4.71991524,53666,0.314001521,53666,0.660616114,0.1373,84400,,,,,,,,,,,,,
2013,AAPL,IT,0.37389782,156508,44.58147419,68662,58518,64.35793731,50856,0.324941856,50856,0.768961892,0,76100,,,,,,,,,,,,,
2012,AAPL,IT,0.32890835,108249,65.96243772,43818,35604,83.41232227,37529,0.346691424,37529,0.562464455,0,63300,,,,,,,,,,,,,
2011,AAPL,IT,0.297615945,65225,52.02190887,25684,19412,55.61968895,18595,0.285090073,18595,0.392955466,0,49400,,,,,,,,,,,,,
2010,AAPL,IT,0.290735346,42905,,17222,12474,,10159,0.23677893,10159,0.338967391,0,36800,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,MSFT,IT,0.493483633,198270,17.95607063,135620,97843,19.90269846,89035,0.449059363,89035,0.442728507,0.2989,221000,,,,,,,,,,,,,
2022,MSFT,IT,0.485471896,168088,17.53172744,115856,81602,24.10006844,76740,0.456546571,76740,0.450839779,0.4095,181000,,,,,,,,,,,,,
2021,MSFT,IT,0.459776946,143015,13.64557425,96937,65755,20.3400377,60675,0.424256197,60675,0.403404908,0.5353,163000,,,,,,,,,,,,,
2020,MSFT,IT,0.434199757,125843,14.02953969,82933,54641,20.56973896,52185,0.414683375,52185,0.379451389,0.7053,144000,,,,,,,,,,,,,
2019,MSFT,IT,0.410646974,110360,14.27861366,72007,45319,19.88201995,43884,0.397644074,43884,0.345946565,0.9217,131000,,,,,,,,,,,,,
2018,MSFT,IT,0.391452921,96571,5.942690392,62310,37803,13.42034203,39507,0.409097969,39507,0.304862903,0.9827,124000,,,,,,,,,,,,,
2017,MSFT,IT,0.365644952,91154,-2.592434281,58374,33330,5.421305668,33325,0.3655901,33325,0.292368421,0.7425,114000,,,,,,,,,,,,,
2016,MSFT,IT,0.337849968,93580,7.770087409,60542,31616,-4.109672136,29668,0.317033554,29668,0.267932203,0.4407,118000,,,,,,,,,,,,,
2015,MSFT,IT,0.379705872,86833,11.54028953,59755,32971,8.034339264,32502,0.3743047,32502,0.257585938,0.2522,128000,,,,,,,,,,,,,
2014,MSFT,IT,0.392028157,77849,5.596625205,57464,30519,-1.306470912,28833,0.370370846,28833,0.258635593,0.1976,118000,,,,,,,,,,,,,
2013,MSFT,IT,0.419448476,73723,5.404400726,56193,30923,3.328098373,31626,0.42898417,31626,0.241585938,0.18,128000,,,,,,,,,,,,,
2012,MSFT,IT,0.427876986,69943,11.93745599,54366,29927,11.78887602,26994,0.385942839,26994,0.302292929,0.2088,99000,,,,,,,,,,,,,
2011,MSFT,IT,0.428445682,62484,6.925406848,50089,26771,16.77644493,24073,0.385266628,24073,0.284797872,0.1286,94000,,,,,,,,,,,,,
2010,MSFT,IT,0.392302822,58437,-72.42432107,46282,22925,-77.60880606,19037,0.325769632,19037,0.254722222,0.1453,90000,,,,,,,,,,,,,
2009,MSFT,IT,0.483137107,211915,,146052,102384,,87582,0.413288347,87582,0.463276018,0.2291,221000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,GOOG,IT,0.353811758,257637,41.15007643,146698,91155,65.97476375,91652,0.355740829,91652,0.582460064,0.0589,156500,,,,,,,,,,,,,
2021,GOOG,IT,0.300892471,182527,12.77053201,97795,54921,19.36234026,65124,0.35679105,65124,0.405917177,0.0626,135301,,,,,,,,,,,,,
2020,GOOG,IT,0.284275626,161857,18.3000899,89961,46012,25.85683416,54520,0.336840544,54520,0.386983911,0.0226,118899,,,,,,,,,,,,,
2019,GOOG,IT,0.26720704,136819,23.42158676,77270,36559,10.47351404,47971,0.350616508,47971,0.370139008,0.0226,98771,,,,,,,,,,,,,
2018,GOOG,IT,0.2985251,110855,22.80109004,65272,33093,10.82719357,37091,0.33459023,37091,0.413094495,0.026,80110,,,,,,,,,,,,,
2017,GOOG,IT,0.330778093,90272,20.38032245,55134,29860,22.2618024,36036,0.399193548,36036,0.414417165,0.0283,72053,,,,,,,,,,,,,
2016,GOOG,IT,0.325687768,74989,13.61797549,46825,24423,13.72759022,26572,0.354345304,26572,0.395104669,0.0434,61814,,,,,,,,,,,,,
2015,GOOG,IT,0.325373858,66001,18.88002306,40310,21475,11.02781512,23024,0.348843199,23024,0.400652985,0.0504,53600,,,,,,,,,,,,,
2014,GOOG,IT,0.348385237,55519,20.59123786,33526,19342,15.15837104,18659,0.336083143,18659,0.405017171,0.0601,47756,,,,,,,,,,,,,
